trade_date,start_close,natural_days_to_5pct_high_low_move,breach_date,breach_side,breach_high,breach_low,upper_bound,lower_bound
2017-02-14,8423.84,65,2017-04-19,down,8101.80,7939.29,8845.03,8002.65
2017-02-15,8344.07,65,2017-04-20,down,8059.11,7925.30,8761.27,7926.87
2017-02-16,8397.56,63,2017-04-19,down,8101.80,7939.29,8817.44,7977.68
2017-02-17,8324.42,67,2017-04-24,down,7921.42,7698.10,8740.64,7908.20
2017-02-20,8397.24,59,2017-04-19,down,8101.80,7939.29,8817.10,7977.38
2017-02-21,8479.61,58,2017-04-19,down,8101.80,7939.29,8903.59,8055.63
2017-02-22,8510.31,57,2017-04-19,down,8101.80,7939.29,8935.83,8084.79
2017-02-23,8512.70,56,2017-04-19,down,8101.80,7939.29,8938.34,8087.07
2017-02-24,8543.45,55,2017-04-19,down,8101.80,7939.29,8970.62,8116.28
2017-02-27,8476.91,52,2017-04-19,down,8101.80,7939.29,8900.76,8053.06
2017-02-28,8508.09,51,2017-04-19,down,8101.80,7939.29,8933.49,8082.69
2017-03-01,8526.47,50,2017-04-19,down,8101.80,7939.29,8952.79,8100.15
2017-03-02,8471.44,49,2017-04-19,down,8101.80,7939.29,8895.01,8047.87
2017-03-03,8505.45,48,2017-04-19,down,8101.80,7939.29,8930.72,8080.18
2017-03-06,8608.15,44,2017-04-18,down,8247.05,8133.05,9038.56,8177.74
2017-03-07,8624.47,42,2017-04-17,down,8309.78,8183.07,9055.69,8193.25
2017-03-08,8589.87,42,2017-04-18,down,8247.05,8133.05,9019.36,8160.38
2017-03-09,8535.56,42,2017-04-19,down,8101.80,7939.29,8962.34,8108.78
2017-03-10,8537.78,41,2017-04-19,down,8101.80,7939.29,8964.67,8110.89
2017-03-13,8598.52,37,2017-04-18,down,8247.05,8133.05,9028.45,8168.59
2017-03-14,8581.71,36,2017-04-18,down,8247.05,8133.05,9010.80,8152.62
2017-03-15,8574.03,35,2017-04-18,down,8247.05,8133.05,9002.73,8145.33
2017-03-16,8664.98,33,2017-04-17,down,8309.78,8183.07,9098.23,8231.73
2017-03-17,8603.87,33,2017-04-18,down,8247.05,8133.05,9034.06,8173.68
2017-03-20,8634.84,29,2017-04-17,down,8309.78,8183.07,9066.58,8203.10
2017-03-21,8639.57,28,2017-04-17,down,8309.78,8183.07,9071.55,8207.59
2017-03-22,8592.51,28,2017-04-18,down,8247.05,8133.05,9022.14,8162.88
2017-03-23,8590.96,27,2017-04-18,down,8247.05,8133.05,9020.51,8161.41
