日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2017-10-30,09:30:00,股票,南天信息(000948.XSHE),买,市价单,87000股,11.74,1021380,87000股,-,0,306.41,全部成交,2017-10-30 09:30:00
2017-11-13,09:30:00,股票,茂硕电源(002660.XSHE),卖,市价单,-135800股,12.04,-1635032,-135800股,-,374808,2125.54,全部成交,2017-11-13 09:30:00
2017-11-13,09:30:00,股票,国际实业(000159.XSHE),买,市价单,267600股,6.12,1637712,267600股,-,0,491.31,全部成交,2017-11-13 09:30:00
2017-12-11,09:30:00,股票,鞍重股份(002667.XSHE),卖,市价单,-54000股,20.12,-1086480,-54000股,-,72360,1412.42,全部成交,2017-12-11 09:30:00
2017-12-11,09:30:00,股票,世名科技(300522.XSHE),买,市价单,49500股,21.78,1078110,49500股,-,0,323.43,全部成交,2017-12-11 09:30:00
2017-12-18,09:30:00,股票,弘业股份(600128.XSHG),卖,市价单,-113200股,9.57,-1083324,-113200股,-,-157348,1408.32,全部成交,2017-12-18 09:30:00
2017-12-18,09:30:00,股票,南天信息(000948.XSHE),卖,市价单,-87000股,10.46,-910020,-87000股,-,-111360,1183.03,全部成交,2017-12-18 09:30:00
2017-12-18,09:30:00,股票,鞍重股份(002667.XSHE),买,市价单,53800股,18.56,998528,53800股,-,0,299.56,全部成交,2017-12-18 09:30:00
2017-12-18,09:30:00,股票,茂硕电源(002660.XSHE),买,市价单,101200股,9.88,999856,101200股,-,0,299.96,全部成交,2017-12-18 09:30:00
2017-12-25,09:30:00,股票,茂硕电源(002660.XSHE),卖,市价单,-101200股,10.32,-1044384,-101200股,-,44528,1357.7,全部成交,2017-12-25 09:30:00
