日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2023-07-28,09:30:00,基金,纳指ETF(513100.XSHG),买,市价单,160000股,1.133,181280,160000股,-,0,27.19,全部成交,2023-07-28 09:30:00
2023-07-31,09:30:00,基金,纳指ETF(513100.XSHG),卖,市价单,-160000股,1.146,-183360,-160000股,-,2080,27.5,全部成交,2023-07-31 09:30:00
2023-07-31,09:30:00,基金,50ETF(510050.XSHG),买,市价单,66700股,2.746,183158.2,66700股,-,0,27.47,全部成交,2023-07-31 09:30:00
2023-08-17,09:30:00,基金,50ETF(510050.XSHG),卖,市价单,-66700股,2.594,-173019.8,-66700股,-,-10138.4,25.95,全部成交,2023-08-17 09:30:00
2023-08-17,09:30:00,基金,黄金ETF(518880.XSHG),买,市价单,39100股,4.422,172900.2,39100股,-,0,25.94,全部成交,2023-08-17 09:30:00
2023-08-18,09:30:00,基金,黄金ETF(518880.XSHG),卖,市价单,-39100股,4.417,-172704.7,-39100股,-,-195.5,25.91,全部成交,2023-08-18 09:30:00
2023-08-18,09:30:00,基金,50ETF(510050.XSHG),买,市价单,66200股,2.61,172782,66200股,-,0,25.92,全部成交,2023-08-18 09:30:00
2023-08-22,09:30:00,基金,50ETF(510050.XSHG),卖,市价单,-66200股,2.555,-169141,-66200股,-,-3641,25.37,全部成交,2023-08-22 09:30:00
2023-08-22,09:30:00,基金,黄金ETF(518880.XSHG),买,市价单,38100股,4.434,168935.4,38100股,-,0,25.34,全部成交,2023-08-22 09:30:00
2023-08-23,09:30:00,基金,黄金ETF(518880.XSHG),卖,市价单,-38100股,4.44,-169164,-38100股,-,228.6,25.37,全部成交,2023-08-23 09:30:00
2023-08-23,09:30:00,基金,50ETF(510050.XSHG),买,市价单,66100股,2.559,169149.9,66100股,-,0,25.37,全部成交,2023-08-23 09:30:00
2023-08-24,09:30:00,基金,50ETF(510050.XSHG),卖,市价单,-66100股,2.539,-167827.9,-66100股,-,-1322,25.17,全部成交,2023-08-24 09:30:00
2023-08-24,09:30:00,基金,黄金ETF(518880.XSHG),买,市价单,37600股,4.461,167733.6,37600股,-,0,25.16,全部成交,2023-08-24 09:30:00
2023-09-25,09:30:00,基金,黄金ETF(518880.XSHG),卖,市价单,-37600股,4.555,-171268,-37600股,-,3534.4,25.69,全部成交,2023-09-25 09:30:00
2023-09-25,09:30:00,基金,50ETF(510050.XSHG),买,市价单,65200股,2.627,171280.4,65200股,-,0,25.69,全部成交,2023-09-25 09:30:00
2023-09-26,09:30:00,基金,50ETF(510050.XSHG),卖,市价单,-65200股,2.607,-169976.4,-65200股,-,-1304,25.5,全部成交,2023-09-26 09:30:00
2023-09-26,09:30:00,基金,黄金ETF(518880.XSHG),买,市价单,37100股,4.58,169918,37100股,-,0,25.49,全部成交,2023-09-26 09:30:00
2023-10-09,09:30:00,基金,黄金ETF(518880.XSHG),卖,市价单,-37100股,4.4,-163240,-37100股,-,-6678,24.49,全部成交,2023-10-09 09:30:00
2023-10-09,09:30:00,基金,50ETF(510050.XSHG),买,市价单,63300股,2.578,163187.4,63300股,-,0,24.48,全部成交,2023-10-09 09:30:00
2023-10-11,09:30:00,基金,50ETF(510050.XSHG),卖,市价单,-63300股,2.573,-162870.9,-63300股,-,-316.5,24.43,全部成交,2023-10-11 09:30:00
2023-10-11,09:30:00,基金,纳指ETF(513100.XSHG),买,市价单,146000股,1.116,162936,146000股,-,0,24.44,全部成交,2023-10-11 09:30:00
2023-10-12,09:30:00,基金,纳指ETF(513100.XSHG),卖,市价单,-146000股,1.129,-164834,-146000股,-,1898,24.73,全部成交,2023-10-12 09:30:00
2023-10-12,09:30:00,基金,50ETF(510050.XSHG),买,市价单,63600股,2.592,164851.2,63600股,-,0,24.73,全部成交,2023-10-12 09:30:00
2023-10-16,09:30:00,基金,50ETF(510050.XSHG),卖,市价单,-63600股,2.568,-163324.8,-63600股,-,-1526.4,24.5,全部成交,2023-10-16 09:30:00
2023-10-16,09:30:00,基金,纳指ETF(513100.XSHG),买,市价单,146800股,1.112,163241.6,146800股,-,0,24.49,全部成交,2023-10-16 09:30:00
2023-10-17,09:30:00,基金,纳指ETF(513100.XSHG),卖,市价单,-146800股,1.12,-164416,-146800股,-,1174.4,24.66,全部成交,2023-10-17 09:30:00
2023-10-17,09:30:00,基金,黄金ETF(518880.XSHG),买,市价单,36700股,4.476,164269.2,36700股,-,0,24.64,全部成交,2023-10-17 09:30:00
2023-11-06,09:30:00,基金,黄金ETF(518880.XSHG),卖,市价单,-36700股,4.607,-169076.9,-36700股,-,4807.7,25.36,全部成交,2023-11-06 09:30:00
2023-11-06,09:30:00,基金,纳指ETF(513100.XSHG),买,市价单,152400股,1.11,169164,152400股,-,0,25.37,全部成交,2023-11-06 09:30:00
2023-11-10,09:30:00,基金,纳指ETF(513100.XSHG),卖,市价单,-152400股,1.117,-170230.8,-152400股,-,1066.8,25.53,全部成交,2023-11-10 09:30:00
2023-11-10,09:30:00,基金,黄金ETF(518880.XSHG),买,市价单,37400股,4.543,169908.2,37400股,-,0,25.49,全部成交,2023-11-10 09:30:00
2023-11-17,09:30:00,基金,黄金ETF(518880.XSHG),卖,市价单,-37400股,4.578,-171217.2,-37400股,-,1309,25.68,全部成交,2023-11-17 09:30:00
