trade_date,open,high,low,close
2024-05-27,726.37,739.45,719.54,738.65
2024-05-28,736.70,746.30,734.58,734.85
2024-05-29,734.29,741.34,731.53,734.33
2024-05-30,733.55,746.26,730.34,742.70
2024-05-31,743.18,751.40,741.35,743.23
2024-06-03,743.61,754.65,742.20,750.43
2024-06-04,748.30,755.25,746.53,753.64
2024-06-05,752.05,762.26,751.35,752.04
2024-06-06,756.79,759.24,741.68,743.23
2024-06-07,744.39,749.42,731.52,737.93
2024-06-11,735.84,756.53,734.76,755.83
2024-06-12,758.38,761.60,753.61,754.93
2024-06-13,758.61,765.95,755.61,758.98
2024-06-14,756.41,756.53,750.49,754.26
2024-06-17,749.94,759.93,748.70,757.11
2024-06-18,757.85,763.82,753.55,756.90
2024-06-19,758.41,759.14,747.74,751.69
2024-06-20,752.15,766.12,749.82,755.15
2024-06-21,749.73,758.67,744.50,758.37
2024-06-24,754.41,762.15,738.21,739.14
2024-06-25,738.32,738.80,713.42,717.75
2024-06-26,719.84,732.13,713.00,729.64
2024-06-27,725.52,727.39,715.17,715.36
2024-06-28,713.36,724.90,710.54,712.08
2024-07-01,711.65,714.13,699.42,709.60
2024-07-02,709.15,709.17,697.54,699.12
2024-07-03,698.96,707.36,692.81,701.78
2024-07-04,702.09,704.78,689.92,690.38
2024-07-05,688.53,699.97,683.40,698.85
2024-07-08,700.02,703.63,689.85,692.49
2024-07-09,689.79,712.19,689.42,709.89
2024-07-10,707.19,715.71,706.79,710.37
2024-07-11,722.04,725.02,712.00,718.04
2024-07-12,713.31,721.46,711.16,718.37
2024-07-15,716.48,720.42,712.79,715.86
2024-07-16,712.76,732.69,711.71,732.06
2024-07-17,733.07,735.71,729.00,729.00
2024-07-18,721.76,738.73,718.52,735.41
2024-07-19,731.41,751.20,731.40,749.47
2024-07-22,749.32,756.68,747.38,752.00
2024-07-23,750.13,750.13,720.88,721.11
2024-07-24,720.47,726.31,712.33,713.32
2024-07-25,708.94,722.60,708.94,713.88
2024-07-26,713.89,723.49,710.33,719.87
2024-07-29,719.55,721.22,707.60,707.60
2024-07-30,706.86,712.15,699.90,710.01
2024-07-31,707.66,744.00,707.20,743.37
2024-08-01,745.96,748.77,735.58,738.87
2024-08-02,730.65,742.23,723.56,725.66
2024-08-05,719.16,730.29,704.26,704.30
2024-08-06,714.49,717.19,705.02,713.86
2024-08-07,712.74,716.26,706.83,707.59
2024-08-08,703.06,716.60,699.70,708.92
2024-08-09,717.14,719.43,705.55,705.55
2024-08-12,704.37,709.21,702.95,707.33
2024-08-13,707.70,710.89,702.91,710.75
2024-08-14,711.66,711.94,700.85,700.93
2024-08-15,699.09,714.46,697.86,707.55
2024-08-16,707.39,710.99,703.58,705.22
2024-08-19,705.04,712.01,703.00,703.32
2024-08-20,704.12,705.01,691.65,693.52
